date,open,high,low,close,adj close,volume
2015-01-02,64.0,64.0,57.0,60.0,60.0,5600
2015-01-05,61.0,61.0,59.0,60.0,60.0,2800
2015-01-06,60.0,62.0,56.0,58.0,58.0,4800
2015-01-07,59.0,60.0,57.0,60.0,60.0,2200
2015-01-08,60.0,60.0,57.0,59.0,59.0,4500
2015-01-09,60.0,62.0,58.0,61.0,61.0,5000
2015-01-12,64.0,64.0,59.0,59.0,59.0,5400
2015-01-13,59.0,62.0,58.0,59.0,59.0,2800
2015-01-14,58.0,61.0,58.0,59.0,59.0,2600
2015-01-15,59.0,59.0,56.0,56.0,56.0,4200
2015-01-16,56.0,58.0,55.0,58.0,58.0,2900
2015-01-20,55.0,58.0,55.0,56.0,56.0,2600
2015-01-21,56.0,57.0,55.0,55.0,55.0,2800
2015-01-22,57.0,57.0,53.0,53.0,53.0,5700
2015-01-23,52.0,55.0,51.0,52.0,52.0,4100
2015-01-26,52.0,55.0,50.0,54.0,54.0,5900
2015-01-27,55.0,55.0,51.0,52.0,52.0,4600
2015-01-28,53.0,54.0,52.0,53.0,53.0,1600
2015-01-29,53.0,55.0,51.0,54.0,54.0,3100
2015-01-30,52.0,54.0,51.0,53.0,53.0,2600
2015-02-02,52.0,54.0,52.0,52.0,52.0,2000
2015-02-03,52.0,53.0,51.0,53.0,53.0,2300
2015-02-04,51.0,52.0,51.0,51.0,51.0,1700
2015-02-05,51.0,55.0,51.0,54.0,54.0,2800
2015-02-06,54.0,55.0,52.0,52.0,52.0,2000
2015-02-09,52.0,56.0,52.0,52.0,52.0,3900
2015-02-10,53.0,56.0,53.0,53.0,53.0,3700
2015-02-11,54.0,55.0,53.0,54.0,54.0,3200
2015-02-12,54.0,54.0,52.0,53.0,53.0,2700
2015-02-13,53.0,57.0,53.0,53.0,53.0,4200
2015-02-17,53.0,59.0,53.0,55.0,55.0,8300
2015-02-18,55.0,68.0,55.0,67.0,67.0,18300
2015-02-19,73.0,73.0,63.0,64.0,64.0,17100
2015-02-20,64.0,64.0,59.0,60.0,60.0,6700
2015-02-23,60.0,60.0,58.0,59.0,59.0,4200
2015-02-24,60.0,64.0,59.0,63.0,63.0,5500
2015-02-25,64.0,65.0,62.0,63.0,63.0,5800
2015-02-26,62.0,64.0,61.0,62.0,62.0,4200
2015-02-27,61.0,67.0,61.0,65.0,65.0,11400
2015-03-02,64.0,67.0,63.0,64.0,64.0,7300
2015-03-03,65.0,80.0,65.0,73.0,73.0,59700
